	Original ID	Gene Name in CARD	ARO	Database
0	argannot~~~(Bla)blaCTX-M-102~~~HQ398215:245-1120	CTX-M-102	3001961	argannot
1	argannot~~~(Bla)blaTEM-97~~~AF397067:1-861	TEM-98	3006139	argannot
2	argannot~~~(Bla)blaSHV-33~~~AY037779:89-949	SHV-33	3001091	argannot
3	argannot~~~(Col)mcr-3.2~~~NG_055523:101-1726	MCR-3.2	3004511	argannot
4	argannot~~~(Bla)blaOXA-70~~~AY750912:1-825	OXA-70	3001618	argannot
5	argannot~~~(Bla)blaCMY-15~~~AJ555823:1-1146	CMY-15	3002026	argannot
6	argannot~~~(Bla)blaSHV-147~~~JX121114:1-858	SHV-147	3001186	argannot
7	argannot~~~(Bla)blaOXA-142~~~EU358785:721-1521	OXA-142	3001803	argannot
8	argannot~~~(Bla)blaOXA-7~~~X75562:135-935	OXA-7	3001402	argannot
9	argannot~~~(Bla)blaOKP-B-1~~~AJ635402:1-861	OKP-B-1	3002434	argannot
10	argannot~~~(Bla)blaSHV-168~~~JX870080:1-861	SHV-168	3001352	argannot
11	argannot~~~(Tmt)dfrA31~~~AB200915:1832-2305	dfrA31	3005084	argannot
12	argannot~~~(Tet)tet(42)~~~EU523697:687-1973	tet(42)	3000572	argannot
13	argannot~~~(Phe)catA14~~~NG_047573:101-751	Vibrio anguillarum chloramphenicol acetyltransferase	3004460	argannot
14	argannot~~~(Bla)blaSHV-13~~~AF164577:1-861	SHV-13	3001072	argannot
15	argannot~~~(Bla)blaLEN-26~~~JX124390:1-861	LEN-26	3002474	argannot
16	argannot~~~(Bla)blaNDM-1~~~JQ080305:1-813	NDM-1	3000589	argannot
17	argannot~~~(MLS)ole(C)~~~L06249:1528-2505	oleC	3003748	argannot
18	argannot~~~(AGly)aph(3'')-III~~~V01547:535-1329	APH(3')-IIIa	3002647	argannot
19	argannot~~~(MLS)mph(B)~~~D85892:1159-2067	mphB	3000318	argannot
20	argannot~~~(Bla)blaRAHN-1~~~AF338038:4685-5572	RAHN-1	3006979	argannot
21	argannot~~~(Flq)qnrB43~~~JQ349151:1-680	QnrB43	3002758	argannot
22	argannot~~~(Bla)blaKPC-1~~~AF297554:131-1012	KPC-2	3002312	argannot
23	argannot~~~(AGly)aph3-Ia~~~HQ840942:23569-24384	APH(3')-Ia	3002641	argannot
24	argannot~~~(Rif)rphD~~~NG_063826:1-2619	rphB	3003992	argannot
25	argannot~~~(Bla)blaTEM-201~~~JX310327:1-861	TEM-201	3001378	argannot
26	argannot~~~(Bla)blaCARB-42~~~NG_048745:1-852	CARB-42	3005576	argannot
27	argannot~~~(Bla)blaTEM-86~~~AJ277415:1-861	TEM-86	3000953	argannot
