input_file_name	gene_symbol	gene_name	reference_database_name	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	genetic_variation_type	antimicrobial_agent	coverage_percentage	coverage_depth	coverage_ratio	drug_class	input_gene_length	input_gene_start	input_gene_stop	input_protein_length	input_protein_start	input_protein_stop	input_sequence_id	nucleotide_mutation	nucleotide_mutation_interpretation	predicted_phenotype	predicted_phenotype_confidence_level	amino_acid_mutation	amino_acid_mutation_interpretation	reference_gene_length	reference_gene_start	reference_gene_stop	reference_protein_length	reference_protein_start	reference_protein_stop	resistance_mechanism	strand_orientation	sequence_identity
groot.groot-db.tsv	groot-db_RESFINDER__cfxA2_1_AF504914    321     966     286M1D328M1D344M6D	groot-db_RESFINDER__cfxA2_1_AF504914    321     966     286M1D328M1D344M6D	groot	v	groot-db_RESFINDER__cfxA2_1_AF504914    321     966     286M1D328M1D344M6D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_RESFINDER__tet(40)_1_FJ158002  411     1221    1221M	groot-db_RESFINDER__tet(40)_1_FJ158002  411     1221    1221M	groot	v	groot-db_RESFINDER__tet(40)_1_FJ158002  411     1221    1221M	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_ARGANNOT__(Bla)cfxA5:AY769934:28-993:966       449      966     775M1D184M6D	groot-db_ARGANNOT__(Bla)cfxA5:AY769934:28-993:966       449      966     775M1D184M6D	groot	v	groot-db_ARGANNOT__(Bla)cfxA5:AY769934:28-993:966       449      966     775M1D184M6D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_RESFINDER__erm(B)_12_U18931    238     738     4D732M2D	groot-db_RESFINDER__erm(B)_12_U18931    238     738     4D732M2D	groot	v	groot-db_RESFINDER__erm(B)_12_U18931    238     738     4D732M2D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_RESFINDER__erm(B)_7_AF368302   201     711     4D705M2D	groot-db_RESFINDER__erm(B)_7_AF368302   201     711     4D705M2D	groot	v	groot-db_RESFINDER__erm(B)_7_AF368302   201     711     4D705M2D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_RESFINDER__cfxA3_1_AF472622    519     966     960M6D	groot-db_RESFINDER__cfxA3_1_AF472622    519     966     960M6D	groot	v	groot-db_RESFINDER__cfxA3_1_AF472622    519     966     960M6D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_ARGANNOT__(MLS)ErmB:M11180:714-1451:738        178      738     4D732M2D	groot-db_ARGANNOT__(MLS)ErmB:M11180:714-1451:738        178      738     4D732M2D	groot	v	groot-db_ARGANNOT__(MLS)ErmB:M11180:714-1451:738        178      738     4D732M2D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_RESFINDER__erm(B)_1_JN899585   214     738     4D732M2D	groot-db_RESFINDER__erm(B)_1_JN899585   214     738     4D732M2D	groot	v	groot-db_RESFINDER__erm(B)_1_JN899585   214     738     4D732M2D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_ARGANNOT__(Bla)cfxA4:AY769933:1-966:966        450      966     960M6D	groot-db_ARGANNOT__(Bla)cfxA4:AY769933:1-966:966        450      966     960M6D	groot	v	groot-db_ARGANNOT__(Bla)cfxA4:AY769933:1-966:966        450      966     960M6D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_CARD__gb|JQ740052|+|2108-3329|ARO:3000567|tet(40)       323     1222    530M2D690M	groot-db_CARD__gb|JQ740052|+|2108-3329|ARO:3000567|tet(40)       323     1222    530M2D690M	groot	v	groot-db_CARD__gb|JQ740052|+|2108-3329|ARO:3000567|tet(40)       323     1222    530M2D690M	groot	v	gene_presence_detected																											
