input_file_name	gene_symbol	gene_name	reference_database_name	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	genetic_variation_type	antimicrobial_agent	coverage_percentage	coverage_depth	coverage_ratio	drug_class	input_gene_length	input_gene_start	input_gene_stop	input_protein_length	input_protein_start	input_protein_stop	input_sequence_id	nucleotide_mutation	nucleotide_mutation_interpretation	predicted_phenotype	predicted_phenotype_confidence_level	amino_acid_mutation	amino_acid_mutation_interpretation	reference_gene_length	reference_gene_start	reference_gene_stop	reference_protein_length	reference_protein_start	reference_protein_stop	resistance_mechanism	strand_orientation	sequence_identity	ARO	confers_resistance_to	resistance_to_drug_classes	argNorm_version
groot.resfinder.tsv	cfiA9_1_AB087234	cfiA9_1_AB087234	groot	v	cfiA9_1_AB087234	groot	v	gene_presence_detected			79.0																750									ARO:3006921	ARO:0000020	ARO:3000007	0.6.0
groot.resfinder.tsv	erm(B)_11_M19270	erm(B)_11_M19270	groot	v	erm(B)_11_M19270	groot	v	gene_presence_detected			132.0																738									ARO:3000375	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026	0.6.0
groot.resfinder.tsv	ant(6)-Ia_3_KF864551	ant(6)-Ia_3_KF864551	groot	v	ant(6)-Ia_3_KF864551	groot	v	gene_presence_detected			217.0																867									ARO:3002629	ARO:0000040	ARO:0000016	0.6.0
groot.resfinder.tsv	tet(40)_3_AM419751	tet(40)_3_AM419751	groot	v	tet(40)_3_AM419751	groot	v	gene_presence_detected			315.0																1221												0.6.0
groot.resfinder.tsv	erm(B)_15_U48430	erm(B)_15_U48430	groot	v	erm(B)_15_U48430	groot	v	gene_presence_detected			159.0																753									ARO:3000375	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026	0.6.0
groot.resfinder.tsv	blaOXA-347_1_JN086160	blaOXA-347_1_JN086160	groot	v	blaOXA-347_1_JN086160	groot	v	gene_presence_detected			191.0																825									ARO:3001777	ARO:0000056	ARO:3000007	0.6.0
groot.resfinder.tsv	erm(B)_9_AF299292	erm(B)_9_AF299292	groot	v	erm(B)_9_AF299292	groot	v	gene_presence_detected			191.0																738									ARO:3000375	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026	0.6.0
groot.resfinder.tsv	tet(W)_1_DQ060146	tet(W)_1_DQ060146	groot	v	tet(W)_1_DQ060146	groot	v	gene_presence_detected			201.0																1920									ARO:3000194	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050	0.6.0
groot.resfinder.tsv	cfxA2_1_AF504914	cfxA2_1_AF504914	groot	v	cfxA2_1_AF504914	groot	v	gene_presence_detected			321.0																966									ARO:3003002	ARO:0000044	ARO:3000007	0.6.0
groot.resfinder.tsv	tet(W)_5_AJ427421	tet(W)_5_AJ427421	groot	v	tet(W)_5_AJ427421	groot	v	gene_presence_detected			199.0																1920												0.6.0
