# argNorm version: 0.7.0
0	1	2	3	ARO	Cut_Off	confers_resistance_to	resistance_to_drug_classes
argannot~~~(Bla)cfiA9~~~AB087234:1-750	79	750	15D732M3D	ARO:3006921	Perfect	ARO:0000020	ARO:3000007
argannot~~~(Tet)Tet-40~~~AM419751:14211-15431	315	1221	156M7D1057M1D	ARO:3000567	Perfect	ARO:0000051	ARO:3000050
argannot~~~(MLS)ErmF~~~M14730:241-1041	321	801	598M10D189M4D	ARO:3000498	Perfect	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026
argannot~~~(AGly)Aph7~~~GG774704:686456-687373	254	918	912M6D	ARO:3002655	Loose	ARO:3000214	ARO:0000016
argannot~~~(Bla)cfxA2~~~AF504910:1-966	338	966	101M1D401M2D455M6D	ARO:3003002	Strict	ARO:3009106	ARO:3000007
argannot~~~(MLS)ErmB~~~M11180:714-1451	178	738	4D732M2D	ARO:3000375	Strict	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026
argannot~~~(Tet)TetQ~~~Z21523:362-2287	539	1974	1D1970M3D	ARO:3000191	Strict	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
argannot~~~(Bla)cfxA5~~~AY769934:28-993	449	966	775M1D184M6D	ARO:3003096	Perfect	ARO:3009106	ARO:3000007
argannot~~~(Bla)OXA-347~~~JN086160:1583-2407	191	825	11D812M1D1M	ARO:3001777	Perfect	ARO:0000056	ARO:3000007
argannot~~~(Tet)TetW~~~AJ222769:3687-5606	203	1920	2D1900M18D	ARO:3000194	Perfect	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
argannot~~~(Tet)Tet-32~~~DQ647324:181-2100	148	1920	4D1897M19D	ARO:3000196	Strict	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
argannot~~~(Bla)cfxA4~~~AY769933:1-966	450	966	960M6D	ARO:3003005	Perfect	ARO:3009106	ARO:3000007
