Original ID	Gene Name in CARD	ARO	Database
Beta-lactamase CTX-M-97|EU885954.1|larval midguts|CAR	LRG-1	3006941	resfinder_fg
Beta-lactamase CTX-M-1|KF791056.1|retail host|AMP	ERP-1	3004782	resfinder_fg
Dihydrofolate reductase|KF791059.1|retail host|TMP	dfrA3	3003105	resfinder_fg
Beta-lactamase|MK935727.1|Gorilla_feces|CST	EC-5	3006880	resfinder_fg
Beta-lactamase|MK935730.1|Human_feces|PIP	CMY-66	3002079	resfinder_fg
Beta-lactamase|MK935731.1|Human_feces|AMP	Escherichia coli ampC beta-lactamase	3004290	resfinder_fg
Beta-lactamase|MK935732.1|Human_feces|AMP	EC-14	3006875	resfinder_fg
Beta-lactamase|MK935734.1|Human_feces|CAZ	EC-18	3006878	resfinder_fg
Beta-lactamase|MK935735.1|Human_feces|CST	EC-5	3006880	resfinder_fg
Beta-lactamase|MK935736.1|Human_feces|ATM	EC-19	3006879	resfinder_fg
Beta-lactamase|MK935737.1|Human_feces|AMX	EC-18	3006878	resfinder_fg
Beta-lactamase|MK935738.1|Human_feces|AMX	ACT-69	3006264	resfinder_fg
Beta-lactamase|MK935739.1|Human_feces|AMX	EC-18	3006878	resfinder_fg
Beta-lactamase|MK935740.1|Human_feces|AMP	EC-19	3006879	resfinder_fg
Beta-lactamase|MK935741.1|Human_feces|PEN	EC-5	3006880	resfinder_fg
Beta-lactamase|MK935742.1|Human_feces|CST	Escherichia coli ampC beta-lactamase	3004290	resfinder_fg
Beta-lactamase|MK935743.1|Human_feces|CST	MIR-3	3002169	resfinder_fg
Beta-lactamase|MK935745.1|Human_feces|PEN	Escherichia coli ampC beta-lactamase	3004290	resfinder_fg
Beta-lactamase|MK935746.1|Human_feces|PIP	EC-18	3006878	resfinder_fg
Beta-lactamase|MK935747.1|Human_feces|CST	EC-5	3006880	resfinder_fg
Beta-lactamase|MK935748.1|Human_feces|CST	EC-14	3006875	resfinder_fg
Beta-lactamase|MK935749.1|Gorilla_feces|AMX	EC-5	3006880	resfinder_fg
Beta-lactamase|MK935751.1|Human_feces|PEN	EC-5	3006880	resfinder_fg
Beta-lactamase|MK935752.1|Human_feces|AMP	EC-5	3006880	resfinder_fg
Beta-lactamase|MK935753.1|Human_feces|CST	EC-19	3006879	resfinder_fg
Beta-lactamase|MK935754.1|Human_feces|CST	CMY-106	3002118	resfinder_fg
Beta-lactamase|MK935755.1|Human_feces|CST	EC-18	3006878	resfinder_fg
Beta-lactamase|MK935756.1|Human_feces|CAZ	CMY-66	3002079	resfinder_fg
Beta-lactamase|MK935758.1|Human_feces|PEN	Escherichia coli ampC beta-lactamase	3004290	resfinder_fg
Beta-lactamase|MK935759.1|Human_feces|CST	CMY-66	3002079	resfinder_fg
Beta-lactamase|MK935760.1|Human_feces|PEN	CMY-106	3002118	resfinder_fg
Beta-lactamase|MK935764.1|Human_feces|AMP	EC-18	3006878	resfinder_fg
Beta-lactamase|MK935767.1|Human_feces|AMX	EC-5	3006880	resfinder_fg
Beta-lactamase|MK935770.1|Human_feces|AMP	EC-5	3006880	resfinder_fg
Beta-lactamase|MK935774.1|Human_feces|CST	EC-18	3006878	resfinder_fg
Beta-lactamase|MK935775.1|Human_feces|PIP	EC-14	3006875	resfinder_fg
Beta-lactamase|MK935776.1|Human_feces|CAZ	CMY-106	3002118	resfinder_fg
Beta-lactamase|MK935778.1|Human_feces|CST	EC-15	3006876	resfinder_fg
Extended-spectrum beta-lactamase PER-1|MK935781.1|Human_feces|AMX	CblA-1	3002999	resfinder_fg
Extended-spectrum beta-lactamase PER-1|MK935782.1|Human_feces|AMX	CblA-1	3002999	resfinder_fg
Extended-spectrum beta-lactamase PER-1|MK935786.1|Human_feces|ATM	CblA-1	3002999	resfinder_fg
Extended-spectrum beta-lactamase PER-1|MK935787.1|Human_feces|PEN	CblA-1	3002999	resfinder_fg
Extended-spectrum beta-lactamase PER-1|MK935788.1|Human_feces|PIP	CblA-1	3002999	resfinder_fg
Extended-spectrum beta-lactamase PER-1|MK935789.1|Human_feces|ATM	CblA-1	3002999	resfinder_fg
Extended-spectrum beta-lactamase PER-1|MK935790.1|Human_feces|ATM	CblA-1	3002999	resfinder_fg
Extended-spectrum beta-lactamase PER-1|MK935791.1|Human_feces|PEN	CblA-1	3002999	resfinder_fg
Extended-spectrum beta-lactamase PER-1|MK935798.1|Human_feces|CAZ	CblA-1	3002999	resfinder_fg
Extended-spectrum beta-lactamase PER-1|MK935802.1|Human_feces|AMP	CblA-1	3002999	resfinder_fg
Extended-spectrum beta-lactamase PER-1|MK935804.1|Human_feces|FEP	CblA-1	3002999	resfinder_fg
Extended-spectrum beta-lactamase PER-1|MK935813.1|Human_feces|CAZ	CblA-1	3002999	resfinder_fg
Extended-spectrum beta-lactamase PER-1|MK935816.1|Pan_troglodytes_feces|AMX	CepA-44	3006225	resfinder_fg
Extended-spectrum beta-lactamase PER-1|MK935817.1|Human_feces|ATM	CepA-44	3006225	resfinder_fg
Extended-spectrum beta-lactamase PER-1|MK935819.1|Human_feces|ATM	CepA-44	3006225	resfinder_fg
Extended-spectrum beta-lactamase PER-1|MK935825.1|Human_feces|AMX	CepA-44	3006225	resfinder_fg
Extended-spectrum beta-lactamase PER-1|MK935827.1|Human_feces|AMX	CfxA6	3003097	resfinder_fg
Extended-spectrum beta-lactamase PER-1|MK935829.1|Human_feces|AMX	CfxA6	3003097	resfinder_fg
Chloramphenicol acetyltransferase|MK935832.1|Human_feces|CHL	catQ	3002687	resfinder_fg
Chloramphenicol acetyltransferase|MK935834.1|Human_feces|CHL	catP	3002686	resfinder_fg
Chloramphenicol acetyltransferase|MK935836.1|Human_feces|CHL	Campylobacter coli chloramphenicol acetyltransferase	3004454	resfinder_fg
Chloramphenicol acetyltransferase|MK935837.1|Human_feces|CHL	catQ	3002687	resfinder_fg
Chloramphenicol acetyltransferase|MK935838.1|Human_feces|CHL	catP	3002686	resfinder_fg
Chloramphenicol acetyltransferase 3|MK935840.1|Human_feces|CHL	catS	3002688	resfinder_fg
Chloramphenicol acetyltransferase|MK935842.1|Human_feces|CHL	catP	3002686	resfinder_fg
Chloramphenicol acetyltransferase|MK935846.1|Human_feces|CHL	catP	3002686	resfinder_fg
Chloramphenicol acetyltransferase|MK935848.1|Human_feces|CHL	catS	3002688	resfinder_fg
Chloramphenicol acetyltransferase|MK935850.1|Human_feces|CHL	catP	3002686	resfinder_fg
16S rRNA (guanine(1405)-N(7))-methyltransferase|MK935853.1|Pan_troglodytes_feces|GEN	rmtD	3002667	resfinder_fg
16S rRNA (guanine(1405)-N(7))-methyltransferase|MK935854.1|Gorilla_feces|GEN	rmtF	3002666	resfinder_fg
16S rRNA (guanine(1405)-N(7))-methyltransferase|MK935857.1|Gorilla_feces|GEN	rmtH	3003198	resfinder_fg
16S rRNA (guanine(1405)-N(7))-methyltransferase|MK935858.1|Gorilla_feces|GEN	rmtF	3002666	resfinder_fg
16S rRNA (guanine(1405)-N(7))-methyltransferase|MK935860.1|Gorilla_feces|GEN	rmtD	3002667	resfinder_fg
16S rRNA (guanine(1405)-N(7))-methyltransferase|MK935862.1|Gorilla_feces|GEN	rmtD	3002667	resfinder_fg
16S rRNA (guanine(1405)-N(7))-methyltransferase|MK935864.1|Pan_troglodytes_feces|GEN	rmtD	3002667	resfinder_fg
16S rRNA (guanine(1405)-N(7))-methyltransferase|MK935865.1|Gorilla_feces|GEN	sgm	3000862	resfinder_fg
16S rRNA (guanine(1405)-N(7))-methyltransferase|MK935867.1|Gorilla_feces|GEN	rmtF	3002666	resfinder_fg
16S rRNA (guanine(1405)-N(7))-methyltransferase|MK935868.1|Gorilla_feces|GEN	rmtD2	3004677	resfinder_fg
16S rRNA (guanine(1405)-N(7))-methyltransferase|MK935869.1|Pan_troglodytes_feces|GEN	sgm	3000862	resfinder_fg
16S rRNA (guanine(1405)-N(7))-methyltransferase|MK935872.1|Pan_troglodytes_feces|GEN	sgm	3000862	resfinder_fg
Beta-lactamase SHV-1|MK935873.1|Human_feces|CST	LEN-16	3002464	resfinder_fg
Beta-lactamase TEM|MK935884.1|Human_feces|PIP	TEM-1	3000873	resfinder_fg
Beta-lactamase TEM|MK935892.1|Human_feces|PEN	TEM-1	3000873	resfinder_fg
Beta-lactamase TEM|MK935898.1|Human_feces|AMP	TEM-1	3000873	resfinder_fg
Beta-lactamase TEM|MK935900.1|Human_feces|PEN	TEM-1	3000873	resfinder_fg
Beta-lactamase TEM|MK935905.1|Human_feces|PEN	TEM-1	3000873	resfinder_fg
Extended-spectrum beta-lactamase PER-1|MK935925.1|Human_feces|CAZ	TLA-3	3003204	resfinder_fg
Beta-lactamase 1|MK935928.1|Gorilla_feces|PEN	CBP-1	3004764	resfinder_fg
Extended-spectrum beta-lactamase PER-1|MK935929.1|Human_feces|ATM	TLA-3	3003204	resfinder_fg
Beta-lactamase SHV-1|MK935931.1|Pan_troglodytes_feces|AMX	MAL-1	3006949	resfinder_fg
Beta-lactamase|MK935932.1|Gorilla_feces|AMP	ACI-1	3004359	resfinder_fg
Extended-spectrum beta-lactamase PER-1|MK935943.1|Human_feces|CAZ	TLA-3	3003204	resfinder_fg
Extended-spectrum beta-lactamase PER-1|MK935948.1|Human_feces|PEN	TLA-3	3003204	resfinder_fg
Beta-lactamase|MK935949.1|Gorilla_feces|PIP	ACI-1	3004359	resfinder_fg
Extended-spectrum beta-lactamase PER-1|MK935960.1|Human_feces|ATM	LUS-1	3006942	resfinder_fg
Beta-lactamase PSE-4|MK935965.1|Human_feces|CST	CARB-22	3003151	resfinder_fg
Extended-spectrum beta-lactamase PER-1|MK935971.1|Human_feces|CAZ	cepA	3003559	resfinder_fg
Beta-lactamase|MK935979.1|Human_feces|PEN	PDC-241	3006619	resfinder_fg
Beta-lactamase|MK935990.1|Pan_troglodytes_feces|ATM	PDC-241	3006619	resfinder_fg
Beta-lactamase|MK935991.1|Gorilla_feces|CAZ	PDC-241	3006619	resfinder_fg
Beta-lactamase OXA-133|MK935996.1|Gorilla_feces|AMP	OXA-727	3005932	resfinder_fg
Beta-lactamase OXA-10|MK935997.1|Human_feces|AMX	OXA-641	3005333	resfinder_fg
Beta-lactamase OXA-133|MK935998.1|Gorilla_feces|CST	OXA-727	3005932	resfinder_fg
tetracycline resistance ribosomal protection protein Tet(32)|MK936002.1|Human_feces|TET	tet(32)	3000196	resfinder_fg
tetracycline resistance ribosomal protection protein Tet(O)|MK936004.1|Human_feces|TET	tet(O)	3000190	resfinder_fg
tetracycline resistance ribosomal protection protein Tet(32)|MK936007.1|Human_feces|TET	tet(O/32/O)	3007119	resfinder_fg
tetracycline resistance ribosomal protection protein Tet(W)|MK936008.1|Human_feces|TET	tet(W)	3000194	resfinder_fg
tetracycline resistance ribosomal protection protein Tet(O)|MK936009.1|Human_feces|TET	tet(O)	3000190	resfinder_fg
tetracycline resistance ribosomal protection protein Tet(W)|MK936011.1|Human_feces|TET	tet(W)	3000194	resfinder_fg
tetracycline resistance ribosomal protection protein Tet(M)|MK936012.1|Human_feces|TET	tet(M)	3000186	resfinder_fg
tetracycline resistance ribosomal protection protein Tet(32)|MK936015.1|Human_feces|TET	tet(32)	3000196	resfinder_fg
tetracycline resistance ribosomal protection protein Tet(W)|MK936016.1|Pan_troglodytes_feces|TET	tet(W)	3000194	resfinder_fg
tetracycline resistance ribosomal protection protein Tet(W)|MK936020.1|Human_feces|TET	tet(W)	3000194	resfinder_fg
tetracycline resistance ribosomal protection protein Tet(32)|MK936021.1|Human_feces|TET	tet(O/32/O)	3007119	resfinder_fg
tetracycline resistance ribosomal protection protein Tet(O)|MK936024.1|Human_feces|TET	tet(O)	3000190	resfinder_fg
tetracycline resistance ribosomal protection protein Tet(32)|MK936025.1|Human_feces|TET	tet(32)	3000196	resfinder_fg
Tetracycline resistance protein TetO|MK936026.1|Human_feces|TET	tet(O)	3000190	resfinder_fg
tetracycline resistance ribosomal protection protein Tet(Q)|MK936029.1|Human_feces|TET	tet(Q)	3000191	resfinder_fg
tetracycline resistance ribosomal protection protein Tet(Q)|MK936031.1|Human_feces|TET	tet(Q)	3000191	resfinder_fg
